Task,Method,Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,MAPE_mean,MAPE_std,R2_mean,R2_std,Pearson_mean,Pearson_std,MaxAE_mean,MaxAE_std,MedAE_mean,MedAE_std
SOH_40to60,VAE,LSTM,0.0193580088195364,0.00010714343129640834,0.02511727371533696,0.00011588381734127722,2.2050075087210628,0.011323792980109883,0.7546183746307059,0.002259392289705513,0.8958887471843451,0.0006405846477961167,0.11665676121294315,0.0006810070774040638,0.016378488776377143,0.00011841715435144166
SOH_40to60,VAE,Transformer,0.016253560348758744,0.000990786350874517,0.022687240838135708,0.0013172908889610621,1.866366288760729,0.11809936607495414,0.7991310341232017,0.024017316394252614,0.8975755661800774,0.014467279221521854,0.12828080912778636,0.006746491564540621,0.01205636851663966,0.0008336224369759824
SOH_40to60,VAE,PatchTST,0.019282575685239254,0.0016606451884114213,0.02557641316133189,0.0013975068140765433,2.1993951830353216,0.1748223568223752,0.744811109108049,0.0272415400189658,0.867458482297808,0.016628547930834344,0.11239302996219747,0.008989799695997266,0.014933787140959786,0.0023057920652128343
SOH_40to60,VAE,Informer,0.016987157746066923,0.0006509384225564056,0.0224300480518707,0.00044595099721380716,1.9436130914420056,0.06437304612523866,0.8042418539871511,0.007734116154526464,0.898650547018398,0.004363560392071669,0.1081345386750682,0.008410836706153817,0.013317873529934054,0.0016595342022763502
SOH_40to60,VAE,iTransformer,0.016821065029175207,0.0004323932730697638,0.023464805260288997,0.00023944687243680245,1.9331580306518894,0.04617380414610947,0.785825911208519,0.0043736480309526996,0.889796136163208,0.002423936795672362,0.1258765391551075,0.007672099980616437,0.012314944198703414,0.0008244123596697219
SOH_40to60,GaussianNoise,MLP,0.011077167050374242,3.411722893617875e-05,0.014507018833838165,0.00013377000291241593,1.2680825079463858,0.0027327043485008726,0.918138240860427,0.0015087797300829442,0.9585492470219356,0.0006944133698738674,0.07419903252611822,0.003195510944702475,0.00910813219710348,0.00026064566055046
SOH_40to60,GaussianNoise,CNN,0.010066608990485488,0.0002305978973760863,0.013371780246404275,0.0002737134940754491,1.1481484068384322,0.026173735206328562,0.930425804944373,0.002839115107833384,0.9651069759932926,0.0014365403165336904,0.0707010942238743,0.0026186208727341574,0.008071873333782143,0.00026346257730053133
SOH_40to60,GaussianNoise,RNN,0.011535985078718421,0.00016498576855672204,0.014545133843027566,0.00011386029272874628,1.3161996273849208,0.01789676688135327,0.9177094710756318,0.0012928708957134713,0.9583307214016938,0.0006253613535179973,0.0721098802753373,0.0013453589551400682,0.010027633695450965,9.013826250660223e-05
SOH_40to60,GaussianNoise,LSTM,0.014171495397448174,0.002307792172023049,0.018210459381678833,0.0030191349385243708,1.6161776700917496,0.2595209567299746,0.8674725544690867,0.041798058357296324,0.9316206936598856,0.022177872179861013,0.08158599747365251,0.00935071819889722,0.011999735013476542,0.0024346473198411816
SOH_40to60,GaussianNoise,Transformer,0.010918155250189378,0.00026630651340903616,0.015137151322321726,0.0004943735324947748,1.2430015691106016,0.03145996992624591,0.9107847501219037,0.005884828508025841,0.9547361624947512,0.003103209258894087,0.08427686041133534,0.008743848611303305,0.008145427552789986,0.00015776355534881476
SOH_40to60,GaussianNoise,PatchTST,0.014865187373865663,0.002250708387450501,0.019431023784933762,0.0025660494210589004,1.6876858453849248,0.25328684706455623,0.8505871884173988,0.04150585637503783,0.9246061041102486,0.021122886573631275,0.08957996027858464,0.011391243117367058,0.01178909939268632,0.002084370038933414
SOH_40to60,GaussianNoise,Informer,0.014173075945589942,0.00044953897220749455,0.018171787364932353,0.000417071722809944,1.6123838344126433,0.049273257332222056,0.8714974321601561,0.005869348622383858,0.9339921209517634,0.0030408348459366736,0.07523683741474077,0.004686841885106145,0.011790812117280535,0.0005989180161616492
